priority,shipping_cost,customer_name,ship_mode,customer_segment,product_category,product_subcategory,product_container,product_name,country,state_region,order_date,ship_date,quantity,unit_price,discount,sales,profit
Low,1.39,Jackie McCullough,Regular Air,Consumer,Office Supplies,Envelopes,Small Box,Park Ridge™ Embossed Executive Business Envelopes,United States,Florida,06/25/2015,07/01/2015,22,15.57,0.03,358.84,63.222
Not Specified,1.39,Brett Schultz,Regular Air,Consumer,Office Supplies,Envelopes,Small Box,Park Ridge™ Embossed Executive Business Envelopes,United States,Colorado,04/29/2015,04/30/2015,3,15.57,0.02,46.23,23.5428
Medium,1.39,Robert Brantley,Regular Air,Consumer,Office Supplies,Envelopes,Small Box,#10 White Business Envelopes 4 1/8 x 9 1/2,United States,Michigan,05/20/2015,05/21/2015,3,15.67,0.06,46.4,25.51
Critical,1.39,Brandon Beach,Regular Air,Corporate,Office Supplies,Envelopes,Small Box,#10 White Business Envelopes 4 1/8 x 9 1/2,United States,Missouri,05/26/2015,05/27/2015,16,15.67,0.01,248.21,171.2649
Low,1.39,Melinda Thornton,Express Air,Consumer,Office Supplies,Envelopes,Small Box,#10 White Business Envelopes 4 1/8 x 9 1/2,United States,Virginia,05/11/2015,05/11/2015,11,15.67,0.01,188.09,-273.98
Medium,3.73,Josephine Dalton,Regular Air,Small Business,Furniture,Office Furnishings,Small Pack,Artistic Insta-Plaque,United States,Virginia,06/11/2015,06/12/2015,17,15.68,0.05,257.48,3.54
Medium,3.73,Bob Berg,Regular Air,Corporate,Furniture,Office Furnishings,Small Pack,Artistic Insta-Plaque,United States,Florida,06/11/2015,06/13/2015,17,15.68,0.05,260.01,1166.628
High,3.73,Tiffany Merrill,Regular Air,Consumer,Furniture,Office Furnishings,Small Pack,Artistic Insta-Plaque,United States,Minnesota,06/01/2015,06/03/2015,12,15.68,0.01,200.72,138.4968
Not Specified,11.25,Wayne Sutherland,Regular Air,Home Office,Office Supplies,Storage & Organization,Small Box,Hanging Personal Folder File,United States,Illinois,02/20/2015,02/21/2015,1,15.7,0.02,19.44,-18.2416
Critical,7.42,Glenda Hunter,Regular Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Acme Galleria® Hot Forged Steel Scissors with Colored Handles,United States,California,02/04/2015,02/05/2015,4,15.73,0.06,63.04,-18.5588
High,7.42,Brett Ingram,Express Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Acme Galleria® Hot Forged Steel Scissors with Colored Handles,United States,Texas,03/16/2015,03/18/2015,5,15.73,0.08,78.08,-37.6
Not Specified,1.39,Kara Allison,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,#10-4 1/8  x 9 1/2  Premium Diagonal Seam Envelopes,United States,Illinois,05/25/2015,05/26/2015,14,15.74,0.07,217.23,149.8887
Medium,5.45,Pam Bennett,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Small Pack,Boston 16701 Slimline Battery Pencil Sharpener,United States,Illinois,05/14/2015,05/15/2015,41,15.94,0.02,664.34,139.612
Low,4,Jessie Kelly,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,Logitech Access Keyboard,United States,California,03/27/2015,04/01/2015,9,15.98,0.1,134.38,92.7222
Critical,4,Monica McCormick,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,Logitech Access Keyboard,United States,North Carolina,06/18/2015,06/19/2015,4,15.98,0.04,64.59,-19.208
Not Specified,8.99,Monica Stuart,Regular Air,Small Business,Technology,Computer Peripherals,Small Pack,Imation 3.5  DS/HD IBM Formatted Diskettes  50/Pack,United States,Wisconsin,01/21/2015,01/23/2015,9,15.98,0,152.18,-135.46
High,11.28,Joyce Murray,Regular Air,Home Office,Technology,Office Machines,Medium Box,210 Trimline Phone  White,United States,California,04/10/2015,04/11/2015,2,15.99,0.03,35.48,-53.2962
Low,9.4,Nelson Hong,Regular Air,Consumer,Technology,Office Machines,Small Box,AT&T Black Trimline Phone  Model 210,United States,California,02/27/2015,02/27/2015,5,15.99,0.1,79.47,-36.21462
High,13.18,Leah Clapp,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,GBC Pre-Punched Binding Paper  Plastic  White  8-1/2  x 11 ,United States,Nevada,01/07/2015,01/08/2015,12,15.99,0.08,192.33,-246.92616
Low,11.28,Leah Clapp,Regular Air,Consumer,Technology,Office Machines,Medium Box,210 Trimline Phone  White,United States,Nevada,02/15/2015,02/22/2015,12,15.99,0.01,200.68,-36.671544
Low,13.18,Rodney Field,Express Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,GBC Pre-Punched Binding Paper  Plastic  White  8-1/2  x 11 ,United States,Missouri,01/30/2015,02/03/2015,7,15.99,0.02,123.03,-76.9925
Critical,13.18,Vicki Bond,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,GBC Pre-Punched Binding Paper  Plastic  White  8-1/2  x 11 ,United States,Illinois,02/18/2015,02/20/2015,23,15.99,0.01,377.44,-99.43544
Low,13.18,Jill Clements,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,GBC Pre-Punched Binding Paper  Plastic  White  8-1/2  x 11 ,United States,Virginia,04/21/2015,04/25/2015,23,15.99,0,403.25,46.488
Not Specified,13.18,Eugene Clayton,Express Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,GBC Pre-Punched Binding Paper  Plastic  White  8-1/2  x 11 ,United States,Washington,05/25/2015,05/27/2015,4,15.99,0.08,66.02,-66.585
Medium,9.4,Priscilla Brandon,Express Air,Corporate,Technology,Office Machines,Small Box,AT&T Black Trimline Phone  Model 210,United States,Pennsylvania,01/18/2015,01/20/2015,5,15.99,0.04,82.8,-83.55306
Medium,8.34,Molly Browning,Regular Air,Home Office,Office Supplies,Storage & Organization,Small Box,Letter/Legal File Tote with Clear Snap-On Lid  Black Granite,United States,New York,03/27/2015,03/28/2015,1,16.06,0,19.16,-28.09
Medium,1.99,Harriet Bowman,Regular Air,Consumer,Technology,Computer Peripherals,Small Pack,Maxell DVD-RAM Discs,United States,South Carolina,05/07/2015,05/08/2015,7,16.48,0.01,122.93,739.674
Medium,1.99,Russell W Melton,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,Maxell DVD-RAM Discs,United States,Alabama,01/17/2015,01/19/2015,8,16.48,0.06,128.13,-144.592
Not Specified,1.99,Pamela Wiley,Express Air,Corporate,Technology,Computer Peripherals,Small Pack,Maxell DVD-RAM Discs,United States,Massachusetts,02/02/2015,02/04/2015,27,16.48,0.02,484.56,69.61
Low,7.04,Edwin Blackburn,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,Rogers® Profile Extra Capacity Storage Tub,United States,Massachusetts,01/26/2015,02/02/2015,5,16.74,0.07,80.58,-114.2
Low,6.25,Anne Armstrong,Regular Air,Home Office,Office Supplies,Storage & Organization,Small Box,Tenex Personal Self-Stacking Standard File Box  Black/Gray,United States,New Jersey,05/23/2015,05/30/2015,31,16.91,0.07,492.9,7.90000000000001
Critical,7.78,Marvin Patrick,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Small Pack,Stanley Bostitch Contemporary Electric Pencil Sharpeners,United States,Michigan,02/14/2015,02/16/2015,45,16.98,0.05,761.67,-47.28
High,12.39,Frank Cross,Regular Air,Corporate,Office Supplies,Envelopes,Small Box,Brown Kraft Recycled Envelopes,United States,New York,05/08/2015,05/10/2015,22,16.98,0.09,381.91,-48.57
Critical,7.78,Donald Melton,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Small Pack,Stanley Bostitch Contemporary Electric Pencil Sharpeners,United States,North Carolina,02/14/2015,02/16/2015,11,16.98,0.05,186.19,-161
High,12.39,Joanne Spivey,Regular Air,Corporate,Office Supplies,Envelopes,Small Box,Brown Kraft Recycled Envelopes,United States,Missouri,05/08/2015,05/10/2015,5,16.98,0.09,86.8,-48.57
Not Specified,4.96,Douglas Buck,Regular Air,Consumer,Office Supplies,Storage & Organization,Small Box,Advantus Rolling Storage Box,United States,Washington,01/20/2015,01/21/2015,5,17.15,0.04,87.16,6.11
High,4.96,Lester Sawyer,Regular Air,Home Office,Office Supplies,Storage & Organization,Small Box,Advantus Rolling Storage Box,United States,Virginia,06/13/2015,06/16/2015,12,17.15,0.08,200.61,33.66
Medium,4.96,Leo E Underwood,Regular Air,Home Office,Office Supplies,Storage & Organization,Small Box,Advantus Rolling Storage Box,United States,New Jersey,06/05/2015,06/07/2015,11,17.15,0.02,190.85,36.495
Medium,3.26,Glenda Hunter,Regular Air,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Fiskars 8  Scissors  2/Pack,United States,California,02/28/2015,02/28/2015,7,17.24,0.04,119.6,47.73
High,1.99,William Woodard,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,Maxell Pro 80 Minute CD-R  10/Pack,United States,Florida,05/10/2015,05/11/2015,31,17.48,0.03,537.8,710.8074
Medium,1.99,Allan Shields,Regular Air,Consumer,Technology,Computer Peripherals,Small Pack,Maxell Pro 80 Minute CD-R  10/Pack,United States,Florida,01/02/2015,01/04/2015,3,17.48,0.05,52.47,-127.008
Low,8.17,Jimmy Wang,Regular Air,Home Office,Office Supplies,Appliances,Medium Box,Bionaire 99.97% HEPA Air Cleaner,United States,Arizona,06/28/2015,07/03/2015,15,17.52,0,284.34,52.764
Low,8.99,Dorothy Holt,Regular Air,Small Business,Furniture,Office Furnishings,Small Pack,Executive Impressions 12  Wall Clock,United States,Texas,05/02/2015,05/09/2015,9,17.67,0,168.71,109.67
Medium,8.99,Seth Merrill,Express Air,Small Business,Furniture,Office Furnishings,Small Pack,Executive Impressions 12  Wall Clock,United States,Nebraska,04/07/2015,04/08/2015,4,17.67,0.06,69.96,38.06
High,8.99,Vivian Clarke,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,Executive Impressions 12  Wall Clock,United States,Maryland,04/30/2015,05/01/2015,16,17.67,0.05,283.44,46.0368
Medium,9.47,Constance Flowers,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,Portfile® Personal File Boxes,United States,California,02/07/2015,02/07/2015,14,17.7,0.03,261.85,-52.33
Medium,9.47,Arnold Floyd Blair,Express Air,Corporate,Office Supplies,Storage & Organization,Small Box,Portfile® Personal File Boxes,United States,South Carolina,03/13/2015,03/15/2015,21,17.7,0.02,374.6,-85.022
Critical,9.47,Faye Manning,Regular Air,Consumer,Office Supplies,Storage & Organization,Small Box,Portfile® Personal File Boxes,United States,Florida,05/28/2015,05/30/2015,11,17.7,0.03,201.77,28.1826
Low,9.47,Laurence Flowers,Regular Air,Consumer,Office Supplies,Storage & Organization,Small Box,Portfile® Personal File Boxes,United States,Mississippi,06/25/2015,07/01/2015,18,17.7,0.07,300.67,-243.544
Low,5.03,Willie Robinson,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,Seth Thomas 13 1/2  Wall Clock,United States,New York,05/30/2015,06/02/2015,3,17.78,0.06,55.17,38.0673
Critical,4,Robert Cowan,Regular Air,Consumer,Technology,Computer Peripherals,Small Box,Belkin 107-key enhanced keyboard  USB/PS/2 interface,United States,Colorado,03/24/2015,03/25/2015,4,17.98,0.06,70.06,-78.13
High,8.51,Matthew Berman,Regular Air,Corporate,Technology,Office Machines,Medium Box,Canon P1-DHIII Palm Printing Calculator,United States,Oregon,03/27/2015,03/28/2015,2,17.98,0.01,40.17,-35.8788
Not Specified,8.51,Ian Hall,Regular Air,Consumer,Technology,Office Machines,Medium Box,Canon P1-DHIII Palm Printing Calculator,United States,Michigan,04/15/2015,04/17/2015,3,17.98,0.06,56.38,-47.243088
High,8.51,April Hu,Regular Air,Home Office,Technology,Office Machines,Medium Box,Canon P1-DHIII Palm Printing Calculator,United States,Arizona,05/25/2015,05/27/2015,12,17.98,0.09,211.13,-6.61200000000001
Not Specified,8.51,Vanessa Boyer,Regular Air,Consumer,Technology,Office Machines,Medium Box,Canon P1-DHIII Palm Printing Calculator,United States,New York,04/15/2015,04/17/2015,13,17.98,0.06,244.31,-52.49232
Medium,4,Lindsay Link,Regular Air,Consumer,Technology,Computer Peripherals,Small Box,Belkin 107-key enhanced keyboard  USB/PS/2 interface,United States,Maine,03/15/2015,03/16/2015,4,17.98,0.1,66.32,-99.55
Not Specified,4,Eddie House Mueller,Regular Air,Home Office,Technology,Computer Peripherals,Small Box,Belkin 107-key enhanced keyboard  USB/PS/2 interface,United States,Illinois,05/03/2015,05/05/2015,146,17.98,0.01,2664.4,-87.96
High,8.65,Yvonne Mann,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Small Box,Model L Table or Wall-Mount Pencil Sharpener,United States,California,05/29/2015,05/29/2015,71,17.99,0.09,1191.58,-80.53
Not Specified,3.77,Vanessa Boyer,Regular Air,Consumer,Furniture,Office Furnishings,Small Pack,3M Polarizing Light Filter Sleeves,United States,New York,04/15/2015,04/16/2015,34,18.65,0.07,643.64,149.72
Medium,8.99,Tracy Buckley,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,Executive Impressions 13-1/2  Indoor/Outdoor Wall Clock,United States,Arkansas,03/27/2015,03/28/2015,7,18.7,0.08,132.23,16.1364
Not Specified,9.03,Debbie Hsu,Regular Air,Small Business,Office Supplies,Paper,Small Box,Computer Printout Paper with Letter-Trim Perforations,United States,Washington,06/24/2015,06/25/2015,5,18.97,0.05,97.33,-1.89
Critical,9.03,Derek McCormick,Regular Air,Consumer,Office Supplies,Paper,Small Box,Computer Printout Paper with Letter-Trim Perforations,United States,Massachusetts,01/19/2015,01/21/2015,1,18.97,0.1,19.73,-24.2048
Critical,9.54,Dale Gillespie,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1939,United States,California,05/16/2015,05/17/2015,5,18.97,0.04,101.74,3.04
Critical,9.54,Jean Webster,Express Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1939,United States,Pennsylvania,01/14/2015,01/16/2015,3,18.97,0.1,56.73,-9.1636
Not Specified,9.03,Samuel Newman,Regular Air,Corporate,Office Supplies,Paper,Small Box,Computer Printout Paper with Letter-Trim Perforations,United States,South Carolina,03/25/2015,03/25/2015,8,18.97,0.01,164.67,-12.0267
Medium,9.54,Russell Chan,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1939,United States,Texas,06/06/2015,06/09/2015,11,18.97,0.01,227.67,85.875
Low,9.03,Edna Michael,Regular Air,Small Business,Office Supplies,Paper,Small Box,Computer Printout Paper with Letter-Trim Perforations,United States,Florida,02/15/2015,02/20/2015,1,18.97,0.09,20.96,-1748.012
Medium,6.38,Lucille Buchanan,Express Air,Corporate,Furniture,Office Furnishings,Small Box,Eldon Expressions™ Desk Accessory  Wood Photo Frame  Mahogany,United States,Ohio,04/04/2015,04/04/2015,7,19.04,0.03,144.03,83.7936
Low,6.15,Troy Moon,Express Air,Corporate,Furniture,Office Furnishings,Small Pack,Executive Impressions 13  Clairmont Wall Clock,United States,California,04/11/2015,04/13/2015,21,19.23,0.09,394.1,211.232
Low,6.15,Gordon Brandt,Regular Air,Corporate,Furniture,Office Furnishings,Small Pack,Executive Impressions 13  Clairmont Wall Clock,United States,California,02/28/2015,02/28/2015,4,19.23,0.06,84.6,-25.38
High,6.15,Theodore Tyson,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,Executive Impressions 13  Clairmont Wall Clock,United States,Illinois,03/09/2015,03/10/2015,11,19.23,0.04,220.92,152.4348
High,6.15,Michael Shaffer,Express Air,Corporate,Furniture,Office Furnishings,Small Pack,Executive Impressions 13  Clairmont Wall Clock,United States,Florida,02/20/2015,02/22/2015,6,19.23,0.05,119.78,-2133.278
High,4.1,Wallace Werner,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,Prismacolor Color Pencil Set,United States,California,05/17/2015,05/18/2015,9,19.84,0.07,170.8,117.852
Not Specified,5.29,Helen H Heller,Regular Air,Corporate,Office Supplies,Appliances,Medium Box,Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day  Extended Life Filter,United States,California,03/07/2015,03/09/2015,13,19.9,0.08,240.46,107.11
Low,8.68,Tonya Proctor,Regular Air,Consumer,Office Supplies,Paper,Small Box,Southworth 25% Cotton Premium Laser Paper and Envelopes,United States,California,02/07/2015,02/14/2015,8,19.98,0.04,168.04,108
Medium,4,Benjamin Kaufman,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,Belkin 105-Key Black Keyboard,United States,Massachusetts,03/20/2015,03/20/2015,2,19.98,0.01,43.08,-72.23
Medium,5.77,Gilbert Scarborough,Express Air,Small Business,Office Supplies,Paper,Small Box,Xerox Blank Computer Paper,United States,Colorado,04/20/2015,04/20/2015,3,19.98,0.1,57.41,35.09
High,10.49,Michele Bradshaw,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,12-1/2 Diameter Round Wall Clock,United States,Florida,03/01/2015,03/03/2015,5,19.98,0.06,103.37,514.1772
Medium,4,Caroline Johnston,Regular Air,Consumer,Technology,Computer Peripherals,Small Box,Belkin 105-Key Black Keyboard,United States,Massachusetts,06/22/2015,06/24/2015,65,19.98,0.1,1233.32,-20.25
Critical,5.97,Annette McIntyre,Express Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1936,United States,Georgia,03/26/2015,03/29/2015,12,19.98,0,249.07,-189.714
Medium,4,Claudia Boyle,Regular Air,Consumer,Technology,Computer Peripherals,Small Box,Belkin 105-Key Black Keyboard,United States,Maine,06/22/2015,06/24/2015,16,19.98,0.1,303.59,-16.2
Not Specified,8.68,David Weaver,Regular Air,Home Office,Office Supplies,Paper,Small Box,Southworth 25% Cotton Premium Laser Paper and Envelopes,United States,Utah,01/21/2015,01/22/2015,5,19.98,0.09,93.19,6.6804
Medium,11.17,Leroy Field,Regular Air,Corporate,Furniture,Office Furnishings,Large Box,Telescoping Adjustable Floor Lamp,United States,Idaho,01/14/2015,01/14/2015,7,19.99,0.06,139.49,-66.8236
Medium,11.17,Erica R Fuller,Regular Air,Corporate,Furniture,Office Furnishings,Large Box,Telescoping Adjustable Floor Lamp,United States,Missouri,03/05/2015,03/08/2015,2,19.99,0.01,43.65,27.91
Not Specified,11.17,Miriam Greenberg,Regular Air,Corporate,Furniture,Office Furnishings,Large Box,Telescoping Adjustable Floor Lamp,United States,Indiana,04/02/2015,04/03/2015,12,19.99,0.03,251.61,-20.8764
Medium,3.99,Tommy Ellis Ritchie,Regular Air,Home Office,Office Supplies,Appliances,Small Box,Fellowes Mighty 8 Compact Surge Protector,United States,Ohio,05/25/2015,05/26/2015,30,20.27,0.05,621.56,309.254
Critical,3.99,Phyllis Little,Regular Air,Corporate,Office Supplies,Appliances,Small Box,Fellowes Mighty 8 Compact Surge Protector,United States,Tennessee,03/23/2015,03/24/2015,13,20.27,0.1,257.92,381.618
Critical,3.99,Amy Hamrick Melvin,Regular Air,Corporate,Office Supplies,Appliances,Small Box,Fellowes Mighty 8 Compact Surge Protector,United States,New York,03/23/2015,03/24/2015,53,20.27,0.1,1051.52,84.05
Critical,14.39,Bonnie Matthews Rowland,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,Career Cubicle Clock  8 1/4   Black,United States,Florida,01/22/2015,01/22/2015,9,20.28,0,206.04,-66.2473
Medium,14.39,Kerry Hardy,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,Career Cubicle Clock  8 1/4   Black,United States,Florida,02/10/2015,02/12/2015,11,20.28,0,237.83,15.678
Medium,6.68,Floyd Dale,Regular Air,Home Office,Furniture,Office Furnishings,Small Box,Seth Thomas 8 1/2  Cubicle Clock,United States,New York,06/02/2015,06/02/2015,3,20.28,0.02,64.75,44.6775
Medium,35,Ross Frederick,Regular Air,Corporate,Office Supplies,Storage & Organization,Large Box,Tennsco Commercial Shelving,United States,Texas,05/15/2015,05/16/2015,33,20.34,0.01,747.28,229.638
High,35,Jordan Berry,Regular Air,Small Business,Office Supplies,Storage & Organization,Large Box,Tennsco Commercial Shelving,United States,Pennsylvania,01/12/2015,01/13/2015,1,20.34,0.07,28.05,-96.16
Low,35,Courtney Boyd,Regular Air,Corporate,Office Supplies,Storage & Organization,Large Box,Tennsco Commercial Shelving,United States,Virginia,01/06/2015,01/10/2015,2,20.34,0.05,53.02,52.776
High,35,Harriet Hodges,Regular Air,Small Business,Office Supplies,Storage & Organization,Large Box,Tennsco Commercial Shelving,United States,New York,01/12/2015,01/13/2015,5,20.34,0.07,140.23,-96.16
Medium,6.32,Robert Brantley,Regular Air,Consumer,Office Supplies,Appliances,Small Box,Kensington 6 Outlet Guardian Standard Surge Protector,United States,Michigan,05/20/2015,05/21/2015,5,20.48,0.09,99.02,-16.89
Low,6.32,Kristine Holden,Regular Air,Small Business,Office Supplies,Appliances,Small Box,Kensington 6 Outlet Guardian Standard Surge Protector,United States,South Carolina,02/06/2015,02/08/2015,18,20.48,0.01,375.03,711.2448
Not Specified,1.99,Edward Bynum,Regular Air,Home Office,Technology,Computer Peripherals,Small Pack,IBM 80 Minute CD-R Spindle  50/Pack,United States,Pennsylvania,06/06/2015,06/08/2015,4,20.89,0,84.56,-5.295
Not Specified,11.52,Brett Schultz,Regular Air,Consumer,Office Supplies,Storage & Organization,Small Box,Iris® 3-Drawer Stacking Bin  Black,United States,Colorado,04/29/2015,04/30/2015,13,20.89,0.02,279.28,-276.1128
Medium,11.52,Claudia Webb,Regular Air,Home Office,Office Supplies,Storage & Organization,Small Box,Iris® 3-Drawer Stacking Bin  Black,United States,North Carolina,03/26/2015,03/27/2015,7,20.89,0.09,146.5,-133.546
Low,4,Stacey Lucas,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,Fellowes Basic 104-Key Keyboard  Platinum,United States,Iowa,01/06/2015,01/11/2015,7,20.95,0.04,142.06,-1.88
Medium,5.99,Sherry Hurley,Regular Air,Consumer,Technology,Computer Peripherals,Small Box,Fellowes Basic 104-Key Keyboard  Platinum,United States,North Carolina,02/09/2015,02/10/2015,19,20.95,0.07,391.4,27.234
Low,53.03,Maurice Everett,Delivery Truck,Corporate,Office Supplies,Storage & Organization,Jumbo Drum,Tennsco Lockers  Gray,United States,California,02/10/2015,02/17/2015,13,20.98,0.09,356.61,-293.74
Low,1.49,Marlene Davidson,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Avery Legal 4-Ring Binder,United States,Tennessee,05/21/2015,05/21/2015,20,20.98,0.03,431.43,30.024
Critical,53.03,Paige Mason,Delivery Truck,Corporate,Office Supplies,Storage & Organization,Jumbo Drum,Tennsco Lockers  Gray,United States,Virginia,02/26/2015,02/28/2015,20,20.98,0.08,421.18,8.742
Not Specified,53.03,Lester Woodward Maynard,Delivery Truck,Small Business,Office Supplies,Storage & Organization,Jumbo Drum,Tennsco Lockers  Gray,United States,New York,05/22/2015,05/22/2015,16,20.98,0.1,342.54,-2111.36
High,53.03,Cameron Owens,Delivery Truck,Corporate,Office Supplies,Storage & Organization,Jumbo Drum,Tennsco Lockers  Gray,United States,Kentucky,02/23/2015,02/23/2015,5,20.98,0.01,123,-282.0818
Critical,1.49,Joseph Dawson,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Avery Legal 4-Ring Binder,United States,Indiana,06/22/2015,06/24/2015,14,20.98,0.09,288.67,199.1823
High,21.2,Anna Burgess,Regular Air,Home Office,Furniture,Office Furnishings,Medium Box,36X48 HARDFLOOR CHAIRMAT,United States,Utah,01/03/2015,01/04/2015,3,20.98,0.05,65.69,-181.102
Low,53.03,Thomas Spence,Delivery Truck,Corporate,Office Supplies,Storage & Organization,Jumbo Drum,Tennsco Lockers  Gray,United States,Idaho,02/10/2015,02/17/2015,3,20.98,0.09,82.29,-152.7448
High,45,Frances Jackson,Delivery Truck,Corporate,Office Supplies,Storage & Organization,Jumbo Drum,Tennsco Lockers  Sand,United States,Indiana,05/19/2015,05/19/2015,28,20.98,0.01,631.37,232.642
Medium,4.81,Dwight Robinson,Regular Air,Corporate,Technology,Telephones and Communication,Medium Box,1726 Digital Answering Machine,United States,Kansas,02/28/2015,02/28/2015,11,20.99,0.05,199.43,4.90176
Low,0.99,Ellen Sparks,Regular Air,Corporate,Technology,Telephones and Communication,Wrap Bag,Accessory21,United States,Wisconsin,03/23/2015,03/28/2015,18,20.99,0.06,326.03,224.9607
Low,2.5,Jay Simon,Regular Air,Corporate,Technology,Telephones and Communication,Wrap Bag,Accessory37,United States,Arkansas,06/24/2015,07/01/2015,6,20.99,0.09,100.11,-136.122
Low,3.3,Bernice F Day,Regular Air,Small Business,Technology,Telephones and Communication,Small Pack,Accessory39,United States,Illinois,05/29/2015,06/05/2015,5,20.99,0,92.96,-92.961
Critical,4.81,Jenny Hawkins,Regular Air,Corporate,Technology,Telephones and Communication,Medium Box,1726 Digital Answering Machine,United States,Wisconsin,03/18/2015,03/18/2015,5,20.99,0.01,93.81,-9.108
High,2.5,Jonathan Crabtree,Regular Air,Corporate,Technology,Telephones and Communication,Wrap Bag,Accessory37,United States,Illinois,02/15/2015,02/16/2015,23,20.99,0.1,392.45,-43.65504
Medium,0.99,Eileen Cheek,Regular Air,Corporate,Technology,Telephones and Communication,Wrap Bag,Accessory25,United States,Massachusetts,05/18/2015,05/18/2015,14,20.99,0.09,229.57,122.292
Not Specified,0.99,Ann Steele,Regular Air,Consumer,Technology,Telephones and Communication,Wrap Bag,Accessory25,United States,Washington,05/24/2015,05/26/2015,9,20.99,0.03,158.87,4.18220000000001
Critical,0.99,Geoffrey H Wong,Regular Air,Corporate,Technology,Telephones and Communication,Small Pack,Accessory15,United States,Georgia,02/15/2015,02/16/2015,9,20.99,0.01,170.46,45.378
Critical,4.81,Claudia Webb,Express Air,Home Office,Technology,Telephones and Communication,Medium Box,1726 Digital Answering Machine,United States,North Carolina,03/31/2015,04/01/2015,2,20.99,0.09,38.98,272.694
Not Specified,2.5,Keith R Atkinson,Regular Air,Corporate,Technology,Telephones and Communication,Wrap Bag,Accessory37,United States,Arizona,05/25/2015,05/27/2015,1,20.99,0.06,17.83,-112.189
Not Specified,3.3,Marianne Weiner Ennis,Regular Air,Corporate,Technology,Telephones and Communication,Small Pack,Accessory39,United States,Colorado,05/05/2015,05/06/2015,4,20.99,0.05,72.75,21.8834
High,3.3,Alison Stewart,Express Air,Home Office,Technology,Telephones and Communication,Small Pack,Accessory39,United States,Illinois,03/11/2015,03/11/2015,11,20.99,0.08,193.51,-96.338
Critical,0.99,Patrick Lowry,Regular Air,Corporate,Technology,Telephones and Communication,Wrap Bag,Accessory25,United States,Maryland,04/29/2015,04/30/2015,2,20.99,0.01,35.33,-78.19416
Medium,1.25,Ruth Lamm,Regular Air,Small Business,Technology,Telephones and Communication,Small Pack,Accessory29,United States,Illinois,05/14/2015,05/16/2015,28,20.99,0.08,469.69,15.3714
Not Specified,4.81,Sam Oh,Regular Air,Corporate,Technology,Telephones and Communication,Medium Box,1726 Digital Answering Machine,United States,Maine,05/27/2015,05/29/2015,15,20.99,0.02,266.39,49.788
High,8.99,Emma Buckley,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Small Pack,Boston 1730 StandUp Electric Pencil Sharpener,United States,California,03/16/2015,03/18/2015,4,21.38,0.04,84.21,-52.12
Critical,8.99,Gretchen Orr,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Small Pack,Boston 1730 StandUp Electric Pencil Sharpener,United States,Louisiana,05/23/2015,05/25/2015,3,21.38,0.07,68.64,-39.396
Critical,8.99,Faye Manning,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Small Pack,Boston 1730 StandUp Electric Pencil Sharpener,United States,Florida,03/30/2015,03/30/2015,21,21.38,0.04,443.66,-51.66
